Date;Filière;Valeur (GWh)
2017-1;"Stock hydraulique ";1731,08
2017-2;"Stock hydraulique ";1506,079
2017-3;"Stock hydraulique ";1352,5
2017-4;"Stock hydraulique ";988,159
2017-5;"Stock hydraulique ";907,065
2017-6;"Stock hydraulique ";971,17
2017-7;"Stock hydraulique ";937,23
2017-8;"Stock hydraulique ";935,748
2017-9;"Stock hydraulique ";843,774
2017-10;"Stock hydraulique ";856,354
2017-11;"Stock hydraulique ";873,142
2017-12;"Stock hydraulique ";851,557
2017-13;"Stock hydraulique ";841,629
2017-14;"Stock hydraulique ";839,51
2017-15;"Stock hydraulique ";858,713
2017-16;"Stock hydraulique ";872,913
2017-17;"Stock hydraulique ";909,507
2017-18;"Stock hydraulique ";926,378
2017-19;"Stock hydraulique ";1016,298
2017-20;"Stock hydraulique ";1169,199
2017-21;"Stock hydraulique ";1337,825
2017-22;"Stock hydraulique ";1648,732
2017-23;"Stock hydraulique ";1907,481
2017-24;"Stock hydraulique ";2069,304
2017-25;"Stock hydraulique ";2246,981
2017-26;"Stock hydraulique ";2376,558
2017-27;"Stock hydraulique ";2453,834
2017-28;"Stock hydraulique ";2469,901
2017-29;"Stock hydraulique ";2472,334
2017-30;"Stock hydraulique ";2515,875
2017-31;"Stock hydraulique ";2534,378
2017-32;"Stock hydraulique ";2550,592
2017-33;"Stock hydraulique ";2543,603
2017-34;"Stock hydraulique ";2523,198
2017-35;"Stock hydraulique ";2493,281
2017-36;"Stock hydraulique ";2483,308
2017-37;"Stock hydraulique ";2446,898
2017-38;"Stock hydraulique ";2416,702
2017-39;"Stock hydraulique ";2356,294
2017-40;"Stock hydraulique ";2309,797
2017-41;"Stock hydraulique ";2246,056
2017-42;"Stock hydraulique ";2208,835
2017-43;"Stock hydraulique ";2184,17
2017-44;"Stock hydraulique ";2160,397
2017-45;"Stock hydraulique ";2079,34
2017-46;"Stock hydraulique ";1987,997
2017-47;"Stock hydraulique ";1861,449
2017-48;"Stock hydraulique ";1786,793
2017-49;"Stock hydraulique ";1535,027
2017-50;"Stock hydraulique ";1497,896
2017-51;"Stock hydraulique ";1464,078
2017-52;"Stock hydraulique ";1493,019
2018-1;"Stock hydraulique ";1577,489
2018-2;"Stock hydraulique ";1719,409
2018-3;"Stock hydraulique ";1660,658
2018-4;"Stock hydraulique ";1704,964
2018-5;"Stock hydraulique ";1639,471
2018-6;"Stock hydraulique ";1416,974
2018-7;"Stock hydraulique ";1194,343
2018-8;"Stock hydraulique ";1101,07
2018-9;"Stock hydraulique ";812,004
2018-10;"Stock hydraulique ";665,128
2018-11;"Stock hydraulique ";703,526
2018-12;"Stock hydraulique ";643,391
2018-13;"Stock hydraulique ";586,044
2018-14;"Stock hydraulique ";597,38
2018-15;"Stock hydraulique ";616,931
2018-16;"Stock hydraulique ";642,271
2018-17;"Stock hydraulique ";811,033
2018-18;"Stock hydraulique ";1002,365
2018-19;"Stock hydraulique ";1101,932
